Num1,Num2,Num3,Num4,Num5,Score
3,11,12,22,32,128
3,11,12,30,36,128
3,11,12,32,36,128
3,11,14,29,38,128
3,11,14,35,38,128
3,11,19,30,38,128
3,11,19,32,38,128
3,11,22,30,38,128
3,11,22,32,38,128
3,11,30,36,38,128
3,11,32,36,38,128
3,12,14,21,30,128
3,12,14,21,32,128
3,12,14,27,30,128
3,12,14,27,32,128
3,12,18,29,30,128
3,12,18,29,32,128
3,12,18,30,35,128
3,12,18,32,35,128
3,12,19,38,39,128
3,12,21,29,30,128
3,12,21,29,32,128
3,12,21,30,35,128
3,12,21,32,35,128
3,12,22,38,39,128
3,12,27,29,30,128
3,12,27,29,32,128
3,12,27,30,35,128
3,12,27,32,35,128
3,12,29,30,40,128
3,12,29,32,40,128
3,12,30,32,39,128
3,12,30,35,40,128
3,12,32,35,40,128
3,12,36,38,39,128
3,14,21,30,38,128
3,14,21,32,38,128
3,14,27,30,38,128
3,14,27,32,38,128
3,18,29,30,38,128
3,18,29,32,38,128
3,18,30,35,38,128
3,18,32,35,38,128
3,21,29,30,38,128
3,21,29,32,38,128
3,21,30,35,38,128
3,21,32,35,38,128
3,27,29,30,38,128
3,27,29,32,38,128
3,27,30,35,38,128
3,27,32,35,38,128
3,29,30,38,40,128
4,9,12,29,38,128
4,9,12,35,38,128
4,11,12,38,39,128
4,12,19,29,38,128
4,12,19,35,38,128
4,12,21,27,38,128
5,11,12,19,38,128
5,11,12,22,38,128
5,11,12,30,32,128
5,11,12,36,38,128
5,11,30,32,38,128
5,12,14,21,38,128
5,12,14,27,38,128
5,12,18,29,38,128
5,12,18,35,38,128
5,12,21,29,38,128
5,12,21,35,38,128
5,12,27,29,38,128
5,12,27,35,38,128
5,12,29,38,40,128
5,12,30,38,39,128
5,12,32,38,39,128
5,12,35,38,40,128
8,11,12,29,38,128
8,11,12,35,38,128
9,10,12,29,38,128
9,10,12,35,38,128
9,11,12,38,39,128
9,12,14,19,38,128
9,12,18,21,38,128
9,12,18,27,38,128
9,12,19,29,38,128
9,12,19,35,38,128
9,12,21,27,38,128
9,12,21,38,40,128
9,12,22,29,38,128
9,12,22,35,38,128
9,12,27,38,40,128
9,12,29,30,32,128
9,12,29,36,38,128
9,12,30,32,35,128
9,12,35,36,38,128
9,29,30,32,38,128
10,12,19,29,38,128
10,12,19,35,38,128
10,12,21,27,38,128
11,12,14,21,30,128
11,12,14,21,32,128
11,12,14,27,30,128
11,12,14,27,32,128
11,12,18,29,30,128
11,12,18,29,32,128
11,12,18,30,35,128
11,12,18,32,35,128
11,12,19,38,39,128
11,12,21,29,30,128
11,12,21,29,32,128
11,12,21,30,35,128
11,12,21,32,35,128
11,12,22,38,39,128
11,12,27,29,30,128
11,12,27,29,32,128
11,12,27,30,35,128
11,12,27,32,35,128
11,12,29,30,40,128
11,12,29,32,40,128
11,12,30,32,39,128
11,12,30,35,40,128
11,12,32,35,40,128
11,12,36,38,39,128
11,14,21,30,38,128
11,14,21,32,38,128
11,14,27,30,38,128
11,14,27,32,38,128
11,18,29,30,38,128
11,18,29,32,38,128
11,18,30,35,38,128
11,18,32,35,38,128
11,21,29,30,38,128
11,21,29,32,38,128
11,21,30,35,38,128
11,21,32,35,38,128
11,27,29,30,38,128
11,27,29,32,38,128
12,14,21,38,39,128
12,14,27,38,39,128
12,14,29,30,35,128
12,14,29,32,35,128
12,18,19,21,38,128
12,18,19,27,38,128
12,18,29,38,39,128
12,19,21,27,38,128
12,19,21,38,40,128
12,19,22,29,38,128
12,19,22,35,38,128
12,19,27,38,40,128
12,19,29,30,32,128
12,19,29,36,38,128
12,19,30,32,35,128
12,19,35,36,38,128
12,21,22,27,38,128
12,21,27,30,32,128
12,21,27,36,38,128
12,21,29,38,39,128
3,4,12,29,32,127
3,4,12,30,35,127
3,4,12,32,35,127
3,4,29,30,38,127
3,4,29,32,38,127
3,4,30,35,38,127
3,4,32,35,38,127
3,5,11,30,38,127
3,5,11,32,38,127
3,5,12,38,39,127
3,8,12,21,38,127
3,8,12,27,38,127
3,9,12,29,30,127
3,9,12,29,32,127
3,9,12,30,35,127
3,9,12,32,35,127
3,9,14,30,38,127
3,9,14,32,38,127
3,9,29,30,38,127
3,9,29,32,38,127
3,9,30,35,38,127
3,9,32,35,38,127
3,10,12,29,30,127
3,10,12,29,32,127
3,10,12,30,35,127
3,10,12,32,35,127
3,10,29,30,38,127
3,10,29,32,38,127
3,10,30,35,38,127
3,10,32,35,38,127
3,11,12,14,40,127
3,11,12,20,38,127
3,11,12,26,38,127
3,11,12,29,40,127
3,11,12,30,39,127
3,11,12,32,39,127
3,11,12,35,40,127
3,11,14,18,38,127
3,11,14,21,38,127
3,11,14,27,38,127
3,11,14,38,40,127
3,11,18,29,38,127
3,11,18,35,38,127
3,11,29,38,40,127
3,11,30,38,39,127
3,11,32,38,39,127
3,11,35,38,40,127
3,12,14,19,32,127
3,12,14,29,35,127
3,12,16,29,38,127
3,12,16,35,38,127
3,12,18,21,30,127
3,12,18,21,32,127
3,12,18,27,30,127
3,12,18,27,32,127
3,12,19,29,30,127
3,12,19,29,32,127
3,12,19,30,35,127
3,12,19,32,35,127
3,12,21,27,30,127
3,12,21,27,32,127
3,12,21,30,40,127
3,12,21,32,40,127
3,12,22,29,30,127
3,12,22,29,32,127
3,12,22,30,35,127
3,12,22,32,35,127
3,12,27,30,40,127
3,12,27,32,40,127
3,12,29,30,36,127
3,12,29,32,36,127
3,12,30,35,36,127
3,12,32,35,36,127
3,14,19,30,38,127
3,14,19,32,38,127
3,14,29,35,38,127
3,18,21,30,38,127
3,18,21,32,38,127
3,18,27,30,38,127
3,18,27,32,38,127
3,19,29,30,38,127
3,19,29,32,38,127
3,19,30,35,38,127
3,19,32,35,38,127
3,21,27,30,38,127
3,21,27,32,38,127
3,21,30,38,40,127
3,21,32,38,40,127
3,22,29,30,38,127
3,22,29,32,38,127
3,22,30,35,38,127
3,22,32,35,38,127
3,27,30,38,40,127
3,27,32,38,40,127
3,29,30,36,38,127
3,29,32,36,38,127
4,5,12,29,38,127
4,5,12,35,38,127
4,9,12,21,38,127
4,9,12,27,38,127
4,11,12,29,30,127
4,11,12,29,32,127
4,11,12,30,35,127
4,11,12,32,35,127
4,11,29,30,38,127
4,11,29,32,38,127
4,11,30,35,38,127
4,11,32,35,38,127
4,12,19,21,38,127
4,12,19,27,38,127
4,12,29,38,39,127
4,12,35,38,39,127
5,9,12,29,38,127
5,9,12,35,38,127
5,10,12,29,38,127
5,10,12,35,38,127
5,11,12,38,39,127
5,12,14,19,38,127
5,12,18,21,38,127
5,12,18,27,38,127
5,12,19,29,38,127
5,12,19,35,38,127
5,12,21,27,38,127
5,12,21,38,40,127
5,12,22,29,38,127
5,12,22,35,38,127
5,12,27,38,40,127
5,12,29,30,32,127
5,12,29,36,38,127
5,12,30,32,35,127
5,12,35,36,38,127
5,29,30,32,38,127
5,30,32,35,38,127
8,11,12,21,38,127
8,11,12,27,38,127
8,12,29,35,38,127
9,10,12,21,38,127
9,10,12,27,38,127
9,11,12,29,30,127
9,11,12,29,32,127
9,11,12,30,35,127
9,11,12,32,35,127
9,11,14,30,38,127
9,11,14,32,38,127
9,11,29,30,38,127
9,11,29,32,38,127
9,11,30,35,38,127
9,11,32,35,38,127
9,12,14,38,39,127
9,12,18,19,38,127
9,12,19,21,38,127
9,12,19,27,38,127
9,12,19,38,40,127
9,12,21,22,38,127
9,12,21,30,32,127
9,12,21,36,38,127
9,12,22,27,38,127
9,12,27,30,32,127
9,12,27,36,38,127
9,12,29,38,39,127
9,12,35,38,39,127
9,21,30,32,38,127
9,27,30,32,38,127
10,11,29,30,38,127
10,11,29,32,38,127
10,11,30,35,38,127
10,11,32,35,38,127
10,12,19,21,38,127
10,12,19,27,38,127
10,12,29,38,39,127
10,12,35,38,39,127
11,12,14,19,30,127
11,12,14,19,32,127
11,12,14,29,35,127
11,12,16,29,38,127
11,12,16,35,38,127
11,12,18,21,30,127
11,12,18,21,32,127
11,12,18,27,30,127
11,12,18,27,32,127
11,12,19,29,30,127
11,12,19,29,32,127
11,12,19,30,35,127
11,12,19,32,35,127
11,12,21,27,30,127
11,12,21,27,32,127
11,12,21,30,40,127
11,12,21,32,40,127
11,12,22,29,30,127
11,12,22,29,32,127
11,12,22,30,35,127
11,12,22,32,35,127
11,12,27,30,40,127
11,12,27,32,40,127
11,12,29,30,36,127
11,12,29,32,36,127
11,12,30,35,36,127
11,12,32,35,36,127
11,14,19,30,38,127
11,14,19,32,38,127
11,14,29,35,38,127
11,18,21,30,38,127
11,18,21,32,38,127
11,18,27,30,38,127
11,18,27,32,38,127
11,19,29,30,38,127
11,19,29,32,38,127
11,19,30,35,38,127
11,19,32,35,38,127
11,21,27,30,38,127
11,21,27,32,38,127
11,21,30,38,40,127
11,22,29,30,38,127
11,22,29,32,38,127
11,22,30,35,38,127
11,22,32,35,38,127
12,14,19,38,39,127
12,14,21,29,30,127
12,14,21,29,32,127
12,14,21,30,35,127
12,14,21,32,35,127
12,14,27,29,30,127
12,14,27,29,32,127
12,14,27,30,35,127
12,14,27,32,35,127
12,18,21,38,39,127
12,18,27,38,39,127
12,18,29,30,35,127
12,18,29,32,35,127
12,19,21,22,38,127
12,19,21,30,32,127
12,19,21,36,38,127
12,19,22,27,38,127
12,19,27,30,32,127
12,19,27,36,38,127
12,19,29,38,39,127
12,21,27,38,39,127
12,21,29,30,35,127
12,21,29,32,35,127
12,22,29,38,39,127
12,27,29,30,35,127
12,27,29,32,35,127
14,21,29,30,38,127
14,21,29,32,38,127
14,21,30,35,38,127
14,21,32,35,38,127
14,27,29,30,38,127
14,27,29,32,38,127
19,21,30,32,38,127
3,4,11,29,38,126
3,4,11,35,38,126
3,4,21,30,38,126
3,4,21,32,38,126
3,4,27,30,38,126
3,4,27,32,38,126
3,5,12,29,32,126
3,5,12,30,35,126
3,5,12,32,35,126
3,5,14,30,38,126
3,5,14,32,38,126
3,5,29,30,38,126
3,5,29,32,38,126
3,5,30,35,38,126
3,5,32,35,38,126
3,8,12,19,38,126
3,9,12,27,30,126
3,9,12,27,32,126
3,9,12,30,40,126
3,9,12,32,40,126
3,9,18,30,38,126
3,9,18,32,38,126
3,9,21,30,38,126
3,9,21,32,38,126
3,9,27,30,38,126
3,9,27,32,38,126
3,9,30,38,40,126
3,9,32,38,40,126
3,10,11,29,38,126
3,10,11,35,38,126
3,10,12,27,30,126
3,10,12,27,32,126
3,10,21,30,38,126
3,10,21,32,38,126
3,10,27,30,38,126
3,10,27,32,38,126
3,11,12,18,40,126
3,11,12,21,40,126
3,11,12,22,35,126
3,11,12,27,40,126
3,11,12,29,36,126
3,11,12,35,36,126
3,11,14,19,38,126
3,11,14,22,38,126
3,11,14,30,32,126
3,11,14,36,38,126
3,11,18,21,38,126
3,11,18,27,38,126
3,11,18,38,40,126
3,11,21,38,40,126
3,11,22,29,38,126
3,11,22,35,38,126
3,11,27,38,40,126
3,11,29,30,32,126
3,11,29,36,38,126
3,11,30,32,35,126
3,11,35,36,38,126
3,12,14,18,35,126
3,12,14,21,35,126
3,12,14,27,29,126
3,12,14,27,35,126
3,12,14,29,40,126
3,12,14,30,39,126
3,12,14,32,39,126
3,12,14,35,40,126
3,12,16,21,38,126
3,12,16,27,38,126
3,12,18,19,30,126
3,12,18,19,32,126
3,12,18,29,35,126
3,12,19,21,30,126
3,12,19,21,32,126
3,12,19,27,30,126
3,12,19,27,32,126
3,12,19,30,40,126
3,12,19,32,40,126
3,12,20,29,38,126
3,12,20,35,38,126
3,12,21,22,30,126
3,12,21,22,32,126
3,12,21,30,36,126
3,12,21,32,36,126
3,12,22,27,30,126
3,12,22,27,32,126
3,12,26,29,38,126
3,12,26,35,38,126
3,12,27,30,36,126
3,12,27,32,36,126
3,12,29,30,39,126
3,12,29,32,39,126
3,12,29,35,40,126
3,12,30,35,39,126
3,12,32,35,39,126
3,14,18,29,38,126
3,14,18,35,38,126
3,14,21,29,38,126
3,14,21,35,38,126
3,14,27,29,38,126
3,14,27,35,38,126
3,14,29,38,40,126
3,14,30,38,39,126
3,14,32,38,39,126
3,14,35,38,40,126
3,18,19,30,38,126
3,18,19,32,38,126
3,18,29,35,38,126
3,19,21,30,38,126
3,19,21,32,38,126
3,19,27,30,38,126
3,19,27,32,38,126
3,19,30,38,40,126
3,19,32,38,40,126
3,21,22,30,38,126
3,21,22,32,38,126
3,21,30,36,38,126
3,21,32,36,38,126
3,22,27,30,38,126
3,22,27,32,38,126
3,27,30,36,38,126
3,27,32,36,38,126
3,29,30,38,39,126
4,5,12,21,38,126
4,5,12,27,38,126
4,9,12,19,38,126
4,11,12,21,32,126
4,11,12,27,30,126
4,11,12,27,32,126
4,11,21,30,38,126
4,11,21,32,38,126
4,11,27,30,38,126
4,11,27,32,38,126
4,12,21,38,39,126
4,12,27,38,39,126
4,12,29,30,35,126
4,12,29,32,35,126
4,29,30,35,38,126
4,29,32,35,38,126
5,9,12,18,38,126
5,9,12,21,38,126
5,9,12,27,38,126
5,9,12,38,40,126
5,10,12,21,38,126
5,10,12,27,38,126
5,11,12,29,30,126
5,11,12,29,32,126
5,11,12,30,35,126
5,11,12,32,35,126
5,11,14,30,38,126
5,11,14,32,38,126
5,11,29,30,38,126
5,11,29,32,38,126
5,11,30,35,38,126
5,11,32,35,38,126
5,12,14,38,39,126
5,12,18,19,38,126
5,12,19,21,38,126
5,12,19,27,38,126
5,12,19,38,40,126
5,12,21,22,38,126
5,12,21,30,32,126
5,12,21,36,38,126
5,12,22,27,38,126
5,12,27,30,32,126
5,12,27,36,38,126
5,12,29,38,39,126
5,12,35,38,39,126
5,21,30,32,38,126
5,27,30,32,38,126
8,11,12,19,38,126
8,12,21,29,38,126
8,12,21,35,38,126
8,12,27,29,38,126
8,12,27,35,38,126
9,10,12,19,38,126
9,11,12,18,30,126
9,11,12,18,32,126
9,11,12,21,30,126
9,11,12,21,32,126
9,11,12,27,30,126
9,11,12,27,32,126
9,11,12,30,40,126
9,11,12,32,40,126
9,11,18,30,38,126
9,11,18,32,38,126
9,11,21,30,38,126
9,11,21,32,38,126
9,11,27,30,38,126
9,11,27,32,38,126
9,11,30,38,40,126
9,11,32,38,40,126
9,12,14,29,30,126
9,12,14,29,32,126
9,12,14,30,35,126
9,12,14,32,35,126
9,12,18,38,39,126
9,12,19,22,38,126
9,12,19,30,32,126
9,12,19,36,38,126
9,12,21,38,39,126
9,12,27,38,39,126
9,12,29,30,35,126
9,12,29,32,35,126
9,14,29,30,38,126
9,14,29,32,38,126
9,14,30,35,38,126
9,14,32,35,38,126
9,19,30,32,38,126
10,11,21,30,38,126
10,11,21,32,38,126
10,11,27,30,38,126
10,11,27,32,38,126
10,12,21,38,39,126
10,12,27,38,39,126
10,12,29,30,35,126
10,12,29,32,35,126
11,12,14,18,29,126
11,12,14,18,35,126
11,12,14,21,29,126
11,12,14,21,35,126
11,12,14,27,29,126
11,12,14,27,35,126
11,12,14,29,40,126
11,12,14,30,39,126
11,12,14,32,39,126
11,12,14,35,40,126
11,12,16,21,38,126
11,12,16,27,38,126
11,12,18,19,30,126
11,12,18,19,32,126
11,12,18,29,35,126
11,12,19,21,30,126
11,12,19,21,32,126
11,12,19,27,30,126
11,12,19,27,32,126
11,12,19,30,40,126
11,12,19,32,40,126
11,12,20,29,38,126
11,12,20,35,38,126
11,12,21,22,30,126
11,12,21,22,32,126
11,12,21,30,36,126
11,12,21,32,36,126
11,12,22,27,30,126
11,12,22,27,32,126
11,12,26,29,38,126
11,12,26,35,38,126
11,12,27,30,36,126
11,12,27,32,36,126
11,12,29,30,39,126
11,12,29,32,39,126
11,12,29,35,40,126
11,12,30,35,39,126
11,12,32,35,39,126
11,14,18,29,38,126
11,14,18,35,38,126
11,14,21,29,38,126
11,14,21,35,38,126
11,14,27,29,38,126
11,14,27,35,38,126
11,14,29,38,40,126
11,14,30,38,39,126
11,14,32,38,39,126
11,14,35,38,40,126
11,18,19,30,38,126
11,18,19,32,38,126
11,18,29,35,38,126
11,19,21,30,38,126
11,19,21,32,38,126
11,19,27,30,38,126
11,19,27,32,38,126
11,19,30,38,40,126
11,19,32,38,40,126
11,21,22,30,38,126
11,21,22,32,38,126
11,21,30,36,38,126
11,21,32,36,38,126
11,22,27,30,38,126
11,22,27,32,38,126
12,14,19,29,30,126
12,14,19,29,32,126
12,14,19,30,35,126
12,14,19,32,35,126
12,14,21,27,30,126
12,14,21,27,32,126
12,16,29,35,38,126
12,18,19,38,39,126
12,18,21,29,30,126
12,18,21,29,32,126
12,18,21,30,35,126
12,18,21,32,35,126
12,18,27,29,30,126
12,18,27,29,32,126
12,18,27,30,35,126
12,18,27,32,35,126
12,19,21,38,39,126
12,19,27,38,39,126
12,19,29,30,35,126
12,19,29,32,35,126
12,21,22,38,39,126
12,21,27,29,30,126
12,21,27,29,32,126
12,21,27,30,35,126
12,21,27,32,35,126
12,21,29,30,40,126
12,21,29,32,40,126
12,21,30,32,39,126
12,21,30,35,40,126
12,21,32,35,40,126
12,22,27,38,39,126
12,22,29,30,35,126
12,22,29,32,35,126
12,27,29,30,40,126
12,27,29,32,40,126
12,27,30,32,39,126
14,19,29,30,38,126
14,19,29,32,38,126
14,19,30,35,38,126
14,19,32,35,38,126
14,21,27,30,38,126
14,21,27,32,38,126
18,21,29,30,38,126
18,21,29,32,38,126
3,4,9,30,38,125
3,4,9,32,38,125
3,4,11,27,38,125
3,4,11,38,40,125
3,4,12,29,35,125
3,4,14,29,38,125
3,4,14,35,38,125
3,4,19,30,38,125
3,4,19,32,38,125
3,4,29,35,38,125
3,5,12,30,40,125
3,5,12,32,40,125
3,5,18,30,38,125
3,5,18,32,38,125
3,5,21,30,38,125
3,5,21,32,38,125
3,5,27,30,38,125
3,5,27,32,38,125
3,5,30,38,40,125
3,5,32,38,40,125
3,8,11,30,38,125
3,8,11,32,38,125
3,8,12,38,39,125
3,9,10,30,38,125
3,9,10,32,38,125
3,9,11,38,40,125
3,9,12,30,36,125
3,9,12,32,36,125
3,9,14,29,38,125
3,9,14,35,38,125
3,9,19,30,38,125
3,9,19,32,38,125
3,9,22,30,38,125
3,9,22,32,38,125
3,9,30,36,38,125
3,9,32,36,38,125
3,10,11,18,38,125
3,10,11,21,38,125
3,10,11,27,38,125
3,10,11,38,40,125
3,10,12,29,35,125
3,10,14,29,38,125
3,10,14,35,38,125
3,10,19,30,38,125
3,10,19,32,38,125
3,10,29,35,38,125
3,11,12,18,36,125
3,11,12,19,40,125
3,11,12,21,36,125
3,11,12,22,40,125
3,11,12,27,36,125
3,11,12,36,40,125
3,11,14,38,39,125
3,11,18,19,38,125
3,11,18,22,38,125
3,11,18,30,32,125
3,11,18,36,38,125
3,11,19,38,40,125
3,11,21,22,38,125
3,11,21,30,32,125
3,11,21,36,38,125
3,11,22,27,38,125
3,11,22,38,40,125
3,11,27,30,32,125
3,11,27,36,38,125
3,11,30,32,40,125
3,11,36,38,40,125
