Date,Number1,Number2,Number3,Number4,Number5
"21
22
49
52
58
34
POWER PLAY X02",5,1,"$150,000,000",0*,$0
"04
36
40
44
52
33
POWER PLAY X02",5,1,"$125,000,000",0*,$0
"10
15
31
52
59
04
POWER PLAY X04",5,1,"$103,000,000",0*,$0
"05
13
17
45
54
12
POWER PLAY X05",5,1,"$81,000,000",0*,$0
"07
21
32
44
52
10
POWER PLAY X04",5,1,"$60,000,000",0*,$0
"14
20
24
39
49
07
POWER PLAY X03",5,1,"$43,000,000",0*,$0
"09
36
39
44
45
09
POWER PLAY X02",5,1,"$28,000,000",0*,$0
"24
26
45
48
55
08
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"06
16
20
31
36
08
POWER PLAY X05",5,1,"$200,000,000",1*,"$200,000,000"
"17
21
37
41
50
01
POWER PLAY X02",5,1,"$170,000,000",0*,$0
"10
29
33
41
59
15
POWER PLAY X02",5,1,"$139,000,000",0*,$0
"07
09
14
45
49
23
POWER PLAY X04",5,1,"$114,000,000",0*,$0
"18
47
51
53
58
30
POWER PLAY X02",5,1,"$95,000,000",0*,$0
"04
17
35
50
57
12
POWER PLAY X02",5,1,"$76,000,000",0*,$0
"13
27
37
41
54
32
POWER PLAY X02",5,1,"$57,000,000",0*,$0
"07
08
19
26
36
15
POWER PLAY X03",5,1,"$40,000,000",0*,$0
"10
14
30
40
51
01
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"05
08
29
37
38
34
POWER PLAY X05",5,1,"$20,000,000",0*,$0
"14
22
52
54
59
04
POWER PLAY X03",5,1,"$140,000,000",1*,"$140,000,000"
"17
22
36
37
52
24
POWER PLAY X02",5,1,"$115,000,000",0*,$0
"05
23
25
28
40
34
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"16
21
27
41
45
14
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"14
16
30
51
52
19
POWER PLAY X02",5,1,"$125,000,000",1*,"$125,000,000"
"10
13
15
31
54
18
POWER PLAY X05",5,1,"$104,000,000",0*,$0
"13
28
49
51
59
33
POWER PLAY X04",5,1,"$91,000,000",0*,$0
"02
24
46
52
56
19
POWER PLAY X05",5,1,"$78,000,000",0*,$0
"04
19
33
41
59
09
POWER PLAY X05",5,1,"$67,000,000",0*,$0
"03
14
20
39
40
37
POWER PLAY X02",5,1,"$52,000,000",0*,$0
"05
18
33
43
45
08
POWER PLAY X03",5,1,"$40,000,000",0*,$0
"02
06
34
35
47
22
POWER PLAY X02",5,1,"$31,000,000",0*,$0
"20
37
39
45
55
28
POWER PLAY X02",5,1,"$25,000,000",0*,$0
"04
30
35
57
59
25
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"09
16
17
28
30
11
POWER PLAY X03",5,1,"$60,000,000",1*,"$60,000,000"
"13
22
25
39
51
28
POWER PLAY X02",5,1,"$46,000,000",0*,$0
"04
35
36
51
56
08
POWER PLAY X05",5,1,"$35,000,000",0*,$0
"05
35
57
58
59
12
POWER PLAY X03",5,1,"$25,000,000",0*,$0
"02
33
39
40
43
26
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"12
14
34
39
46
36
POWER PLAY X04",5,1,"$245,000,000",1*,"$245,000,000"
"11
16
40
51
56
38
POWER PLAY X05",5,1,"$203,000,000",0*,$0
"01
18
21
39
55
06
POWER PLAY X03",5,1,"$173,000,000",0*,$0
"03
08
23
30
58
13
POWER PLAY X04",5,1,"$148,000,000",0*,$0
"16
26
35
52
58
02
POWER PLAY X05",5,1,"$124,000,000",0*,$0
"05
10
24
38
43
01
POWER PLAY X04",5,1,"$105,000,000",0*,$0
"10
12
23
43
47
18
POWER PLAY X03",5,1,"$86,000,000",0*,$0
"03
27
35
37
45
31
POWER PLAY X05",5,1,"$71,000,000",0*,$0
"07
20
43
46
54
17
POWER PLAY X04",5,1,"$58,000,000",0*,$0
"01
12
23
27
43
31
POWER PLAY X03",5,1,"$47,000,000",0*,$0
"30
41
50
51
53
08
POWER PLAY X02",5,1,"$37,000,000",0*,$0
"03
04
12
27
44
26
POWER PLAY X05",5,1,"$30,000,000",0*,$0
"12
47
48
52
55
13
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"06
20
22
32
43
11
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"16
41
42
50
59
05
POWER PLAY X03",5,1,"$25,000,000",1*,"$25,000,000"
"04
19
22
32
53
24
POWER PLAY X04",5,1,"$20,000,000",0*,$0
"03
05
18
27
54
13
POWER PLAY X04",5,1,"$107,000,000",1*,"$107,000,000"
"15
25
52
53
54
02
POWER PLAY X05",5,1,"$91,000,000",0*,$0
"13
19
35
47
57
29
POWER PLAY X05",5,1,"$75,000,000",0*,$0
"02
12
25
54
58
14
POWER PLAY X03",5,1,"$61,000,000",0*,$0
"09
13
47
49
53
39
POWER PLAY X05",5,1,"$47,000,000",0*,$0
"02
17
23
28
47
36
POWER PLAY X02",5,1,"$37,000,000",0*,$0
"18
28
31
48
52
37
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"09
12
35
50
58
04
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"11
18
36
41
46
38
POWER PLAY X04",5,1,"$220,000,000",1*,"$220,000,000"
"25
30
54
57
59
06
POWER PLAY X03",5,1,"$180,000,000",0*,$0
"13
19
21
28
49
11
POWER PLAY X02",5,1,"$160,000,000",0*,$0
"20
40
41
47
55
19
POWER PLAY X02",5,1,"$133,000,000",0*,$0
"38
40
41
51
59
33
POWER PLAY X02",5,1,"$111,000,000",0*,$0
"01
07
27
38
48
30
POWER PLAY X03",5,1,"$92,000,000",0*,$0
"01
04
38
40
42
17
POWER PLAY X04",5,1,"$76,000,000",0*,$0
"24
28
48
50
54
25
POWER PLAY X03",5,1,"$61,000,000",0*,$0
"08
18
19
32
54
08
POWER PLAY X04",5,1,"$48,000,000",0*,$0
"01
09
11
23
31
06
POWER PLAY X03",5,1,"$36,000,000",0*,$0
"11
15
24
50
55
08
POWER PLAY X02",5,1,"$25,000,000",0*,$0
"01
11
18
29
51
32
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"24
30
45
57
59
26
POWER PLAY X03",5,1,"$76,000,000",1*,"$76,000,000"
"18
36
39
41
57
12
POWER PLAY X04",5,1,"$63,000,000",0*,$0
"12
15
19
46
59
12
POWER PLAY X04",5,1,"$48,000,000",0*,$0
"12
21
22
38
41
18
POWER PLAY X02",5,1,"$36,000,000",0*,$0
"19
20
38
41
43
29
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"16
18
27
36
50
08
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"14
37
44
45
53
29
POWER PLAY X05",5,1,"$25,000,000",1*,"$25,000,000"
"17
19
39
41
58
21
POWER PLAY X05",5,1,"$20,000,000",0*,$0
"08
18
38
46
56
31
POWER PLAY X04",5,1,"$200,000,000",1*,"$200,000,000"
"12
20
43
51
55
11
POWER PLAY X04",5,1,"$171,000,000",0*,$0
"04
23
31
42
50
23
POWER PLAY X02",5,1,"$144,000,000",0*,$0
"02
08
40
49
50
36
POWER PLAY X03",5,1,"$120,000,000",0*,$0
"07
12
13
42
49
16
POWER PLAY X04",5,1,"$97,000,000",0*,$0
"08
17
18
40
44
16
POWER PLAY X02",5,1,"$81,000,000",0*,$0
"09
17
32
43
45
31
POWER PLAY X03",5,1,"$65,000,000",0*,$0
"02
11
27
47
55
15
POWER PLAY X04",5,1,"$50,000,000",0*,$0
"03
15
27
29
41
24
POWER PLAY X04",5,1,"$36,000,000",0*,$0
"06
13
15
32
41
03
POWER PLAY X02",5,1,"$25,000,000",0*,$0
"04
24
40
44
55
05
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"03
11
47
48
58
19
POWER PLAY X03",5,1,"$72,000,000",1*,"$72,000,000"
"09
24
34
36
43
27
POWER PLAY X03",5,1,"$56,000,000",0*,$0
"21
33
44
45
55
07
POWER PLAY X05",5,1,"$43,000,000",0*,$0
"04
23
39
49
50
39
POWER PLAY X03",5,1,"$27,000,000",0*,$0
"05
14
32
53
56
11
POWER PLAY X04",5,1,"$20,000,000",0*,$0
"10
18
41
55
56
15
POWER PLAY X02",5,1,"$218,000,000",1*,"$218,000,000"
"06
22
34
43
45
23
POWER PLAY X02",5,1,"$187,000,000",0*,$0
"19
20
42
56
58
37
POWER PLAY X04",5,1,"$153,000,000",0*,$0
"04
10
11
19
33
27
POWER PLAY X04",5,1,"$125,000,000",0*,$0
"05
15
26
28
32
09
POWER PLAY X02",5,1,"$101,000,000",0*,$0
"03
11
20
27
46
08
POWER PLAY X02",5,1,"$85,000,000",0*,$0
"28
39
40
48
53
09
POWER PLAY X03",5,1,"$67,000,000",0*,$0
